Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
satisfaction_score,"(0.999, 1.4]",1.6022594,0.8114795,34.707096,1.160208,1
satisfaction_score,"(1.4, 2.2]",1.6799111,0.82307243,35.86639,1.160208,1
satisfaction_score,"(2.2, 2.8]",0.87812215,0.6760144,21.160587,1.160208,1
satisfaction_score,"(2.8, 3.2]",0.50278074,0.58908254,12.4674,1.160208,1
satisfaction_score,"(3.2, 3.4]",0.5097279,0.59076315,12.635461,1.160208,1
satisfaction_score,"(3.4, 3.6]",-1.1627704,0.21326144,-25.11471,1.160208,1
satisfaction_score,"(3.6, 3.8]",-1.1990012,0.20724574,-25.716282,1.160208,1
satisfaction_score,"(3.8, 4.0]",-1.2389321,0.20076194,-26.36466,1.160208,1
satisfaction_score,"(4.0, 4.2]",-1.2746353,0.19509429,-26.931425,1.160208,1
satisfaction_score,"(4.2, 4.8]",-1.5059646,0.16130212,-30.310642,1.160208,1
price_sensitivity,high,0.029959315,0.47186786,0.74593127,0.015238861,10
price_sensitivity,low,-0.01042848,0.46181566,-0.25928915,0.015238861,10
price_sensitivity,medium,-0.009566282,0.46202993,-0.23786128,0.015238861,10
credit_score,"(599.999, 628.0]",0.013393775,0.4677416,0.3333062,0.009616714,11
credit_score,"(628.0, 658.0]",0.013349436,0.4677306,0.3322065,0.009616714,11
credit_score,"(658.0, 687.0]",-0.0010252218,0.4641536,-0.025495887,0.009616714,11
credit_score,"(687.0, 708.0]",-0.004699666,0.46323982,-0.11687279,0.009616714,11
credit_score,"(708.0, 723.0]",-0.0036429404,0.46350253,-0.09060204,0.009616714,11
credit_score,"(723.0, 739.0]",-0.002793698,0.46371377,-0.069478154,0.009616714,11
credit_score,"(739.0, 758.0]",0.0019397839,0.46489114,0.0482589,0.009616714,11
credit_score,"(758.0, 788.0]",0.009954265,0.4668854,0.24768412,0.009616714,11
credit_score,"(788.0, 818.0]",-0.009699511,0.46199685,-0.24116933,0.009616714,11
credit_score,"(818.0, 849.0]",-0.021250775,0.45912698,-0.52815676,0.009616714,11
annual_income,"(105053.6, 126332.0]",0.015662532,0.46830648,0.38979352,0.0077947257,12
annual_income,"(126332.0, 348587.0]",0.009669805,0.4668146,0.24060607,0.0077947257,12
annual_income,"(27668.999, 46486.0]",-0.015065193,0.46066347,-0.3745079,0.0077947257,12
annual_income,"(46486.0, 53951.8]",-0.010528522,0.4617908,-0.26177466,0.0077947257,12
annual_income,"(53951.8, 60448.0]",-0.0075453846,0.4625323,-0.1876235,0.0077947257,12
annual_income,"(60448.0, 67032.0]",-0.0020425438,0.46390057,-0.05079806,0.0077947257,12
annual_income,"(67032.0, 74163.5]",0.00046822967,0.46452504,0.011649728,0.0077947257,12
annual_income,"(74163.5, 82023.4]",0.0012957713,0.4647309,0.032234192,0.0077947257,12
annual_income,"(82023.4, 91615.6]",0.0017430328,0.46484217,0.04336238,0.0077947257,12
annual_income,"(91615.6, 105053.6]",0.004405483,0.46550456,0.10960102,0.0077947257,12
previous_provider,atco,-0.01072513,0.46174192,-0.26666224,0.0076287426,13
previous_provider,direct energy,-0.0053262217,0.46308404,-0.13245046,0.0076287426,13
previous_provider,enmax,-0.0039299848,0.4634312,-0.097733736,0.0076287426,13
previous_provider,epcor,0.014333517,0.46797556,0.35670102,0.0076287426,13
previous_provider,unknown,0.0034549464,0.46526805,0.0859499,0.0076287426,13
communication_preference,app,0.0057304427,0.4658342,0.14256537,0.0064043077,14
communication_preference,email,-0.0009074994,0.46418288,-0.022566319,0.0064043077,14
communication_preference,mail,-0.0008431339,0.46419886,-0.020968914,0.0064043077,14
communication_preference,phone,0.006698698,0.4660752,0.16666651,0.0064043077,14
communication_preference,text,-0.010712589,0.46174502,-0.2663523,0.0064043077,14
city,calgary,-0.0027711056,0.4637194,-0.06891489,0.0057135387,15
city,edmonton,0.002087393,0.46492788,0.051933527,0.0057135387,15
city,hamilton,-0.0019415052,0.4639257,-0.048285723,0.0057135387,15
city,london,-0.004286828,0.4633425,-0.10660589,0.0057135387,15
city,toronto,0.0011094193,0.46468455,0.02759993,0.0057135387,15
city,vancouver,0.004901291,0.4656279,0.1219362,0.0057135387,15
city,winnipeg,0.0013501915,0.46474448,0.033593178,0.0057135387,15
home_value,"(-0.001, 236074.8]",0.0014680987,0.46477377,0.036522746,0.005464962,16
home_value,"(236074.8, 362837.0]",0.0042701745,0.46547088,0.10623336,0.005464962,16
home_value,"(362837.0, 488938.8]",0.0056269304,0.46580842,0.13998747,0.005464962,16
home_value,"(488938.8, 616146.5]",0.0040950524,0.46542728,0.10187328,0.005464962,16
home_value,"(616146.5, 744684.4]",0.0028213498,0.46511042,0.07018745,0.005464962,16
home_value,"(744684.4, 872619.5]",0.0023130726,0.464984,0.057545304,0.005464962,16
home_value,"(872619.5, 999995.0]",-0.023032451,0.45868462,-0.57239234,0.005464962,16
employment_status,employed_ft,0.010945935,0.46713227,0.27237236,0.0051515982,17
employment_status,employed_pt,-0.002112821,0.4638831,-0.052544475,0.0051515982,17
employment_status,retired,0.0012538162,0.4647205,0.03119409,0.0051515982,17
employment_status,self_employed,-0.0021554579,0.4638725,-0.053605437,0.0051515982,17
employment_status,unemployed,-0.007813723,0.46246558,-0.19429624,0.0051515982,17
age,"(24.999, 33.0]",0.0052586934,0.46571687,0.1308322,0.004535603,18
age,"(33.0, 36.0]",0.006120216,0.4659312,0.15226603,0.004535603,18
age,"(36.0, 40.0]",0.0051426603,0.46568793,0.12793839,0.004535603,18
age,"(40.0, 43.0]",-0.0005566881,0.4642701,-0.013843179,0.004535603,18
age,"(43.0, 46.0]",-0.001406096,0.46405885,-0.034970045,0.004535603,18
age,"(46.0, 50.0]",0.00037102526,0.46450087,0.0092327595,0.004535603,18
