Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
heating_type,electric,0.1710641,0.6798236,3.8319767,0.19361746,1
heating_type,gas,-0.21299042,0.59119475,-5.030906,0.19361746,1
heating_type,heat_pump,-0.2127888,0.5912435,-5.0260305,0.19361746,1
heating_type,oil,0.19654432,0.6853441,4.384029,0.19361746,1
heating_type,solar,-0.19783609,0.5948522,-4.66516,0.19361746,1
communication_preference,app,0.00028029608,0.6415683,0.0064492226,0.00026166855,10
communication_preference,email,6.6872424e-05,0.6415192,0.0015377998,0.00026166855,10
communication_preference,mail,-0.00048439478,0.64139235,-0.011146069,0.00026166855,10
communication_preference,phone,-0.0001571762,0.6414677,-0.0036120415,0.00026166855,10
communication_preference,text,0.00028233128,0.6415688,0.0064969063,0.00026166855,10
credit_score,"(599.999, 628.0]",0.00013421127,0.6415347,0.0030875206,0.00021747472,11
credit_score,"(628.0, 658.0]",0.00013506859,0.64153486,0.003105402,0.00021747472,11
credit_score,"(658.0, 687.0]",0.0001344764,0.64153475,0.003093481,0.00021747472,11
credit_score,"(687.0, 708.0]",0.000112835405,0.64152974,0.002592802,0.00021747472,11
credit_score,"(708.0, 723.0]",9.854704e-05,0.64152646,0.0022649765,0.00021747472,11
credit_score,"(723.0, 739.0]",-6.686778e-05,0.64148843,-0.0015377998,0.00021747472,11
credit_score,"(739.0, 758.0]",-0.00043736593,0.6414032,-0.010061264,0.00021747472,11
credit_score,"(758.0, 788.0]",-0.00028449544,0.64143836,-0.00654459,0.00021747472,11
credit_score,"(788.0, 818.0]",-0.00019383784,0.6414592,-0.0044584274,0.00021747472,11
credit_score,"(818.0, 849.0]",-1.0460986e-05,0.64150137,-0.00024437904,0.00021747472,11
city,calgary,-0.00017581,0.6414634,-0.004041195,0.00019311254,12
city,edmonton,8.035388e-05,0.6415223,0.001847744,0.00019311254,12
city,hamilton,0.0002540557,0.6415622,0.005841255,0.00019311254,12
city,london,8.012327e-05,0.6415222,0.0018417835,0.00019311254,12
city,toronto,8.119231e-05,0.64152247,0.0018656254,0.00019311254,12
city,vancouver,2.2340122e-05,0.64150894,0.00051259995,0.00019311254,12
city,winnipeg,-0.00034440405,0.64142466,-0.007915497,0.00019311254,12
tenure_months,"(101.0, 113.0]",9.2713475e-05,0.6415251,0.0021278858,0.00017228918,13
