Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
home_ownership,own,0.015520944,0.6283998,0.36315918,0.018742183,1
home_ownership,rent,-0.024210818,0.6190755,-0.56927204,0.018742183,1
customer_segment,affluent_professionals,0.0,0.6247682,0.0,0.0,10
customer_segment,commercial,0.0,0.6247682,0.0,0.0,10
customer_segment,residential_premium,0.0,0.6247682,0.0,0.0,10
customer_segment,residential_standard,0.0,0.6247682,0.0,0.0,10
customer_segment,small_business,0.0,0.6247682,0.0,0.0,10
customer_segment,young_professionals,0.0,0.6247682,0.0,0.0,10
customer_type,commercial,0.0,0.6247682,0.0,0.0,11
customer_type,residential,0.0,0.6247682,0.0,0.0,11
employment_status,employed_ft,0.0,0.6247682,0.0,0.0,12
employment_status,employed_pt,0.0,0.6247682,0.0,0.0,12
employment_status,retired,0.0,0.6247682,0.0,0.0,12
employment_status,self_employed,0.0,0.6247682,0.0,0.0,12
employment_status,unemployed,0.0,0.6247682,0.0,0.0,12
green_energy_preference,False,0.0,0.6247682,0.0,0.0,13
green_energy_preference,True,0.0,0.6247682,0.0,0.0,13
previous_provider,atco,0.0,0.6247682,0.0,0.0,14
previous_provider,direct energy,0.0,0.6247682,0.0,0.0,14
previous_provider,enmax,0.0,0.6247682,0.0,0.0,14
previous_provider,epcor,0.0,0.6247682,0.0,0.0,14
previous_provider,unknown,0.0,0.6247682,0.0,0.0,14
contract_type,fixed_1yr,0.0,0.6247682,0.0,0.0,15
contract_type,fixed_2yr,0.0,0.6247682,0.0,0.0,15
contract_type,fixed_3yr,0.0,0.6247682,0.0,0.0,15
contract_type,month_to_month,0.0,0.6247682,0.0,0.0,15
current_rate_plan,fixed_rate_1yr,0.0,0.6247682,0.0,0.0,16
current_rate_plan,fixed_rate_3yr,0.0,0.6247682,0.0,0.0,16
current_rate_plan,green_plan,0.0,0.6247682,0.0,0.0,16
current_rate_plan,tiered,0.0,0.6247682,0.0,0.0,16
current_rate_plan,time_of_use,0.0,0.6247682,0.0,0.0,16
seasonal_usage_pattern,balanced,0.0,0.6247682,0.0,0.0,17
seasonal_usage_pattern,high_summer,0.0,0.6247682,0.0,0.0,17
seasonal_usage_pattern,high_winter,0.0,0.6247682,0.0,0.0,17
tech_savviness,high,0.0,0.6247682,0.0,0.0,18
tech_savviness,low,0.0,0.6247682,0.0,0.0,18
tech_savviness,medium,0.0,0.6247682,0.0,0.0,18
communication_preference,app,0.0,0.6247682,0.0,0.0,19
communication_preference,email,0.0,0.6247682,0.0,0.0,19
