feature,feature_group,feature_effect,probability_contribution,Feature_Importance_Rank,SHAP_Value
home_ownership,own,increases,0.3631591796875,1,0.015520944260060787
home_ownership,rent,decreases,0.5692720413208008,1,-0.024210818111896515
tenure_months,"(101.0, 113.0]",increases,0.060236454010009766,2,0.002570113632827997
tenure_months,"(113.0, 125.0]",increases,0.059676170349121094,2,0.0025462652556598186
tenure_months,"(17.0, 29.0]",decreases,0.17202496528625488,2,-0.0073314243927598
tenure_months,"(29.0, 41.0]",decreases,0.07266998291015625,2,-0.003098913002759218
tenure_months,"(41.0, 53.0]",increases,0.06009340286254883,2,0.002564051654189825
tenure_months,"(5.999, 17.0]",decreases,0.17142295837402344,2,-0.007305934559553862
tenure_months,"(53.0, 65.0]",increases,0.06000399589538574,2,0.0025601512752473354
tenure_months,"(65.0, 77.0]",increases,0.059729814529418945,2,0.0025485705118626356
tenure_months,"(77.0, 89.0]",increases,0.06028413772583008,2,0.0025721394922584295
tenure_months,"(89.0, 101.0]",increases,0.060170888900756836,2,0.0025671697221696377
household_size,"(-0.001, 1.0]",decreases,0.10540485382080078,3,-0.004493921995162964
household_size,"(1.0, 2.0]",decreases,0.10588765144348145,3,-0.004514453001320362
household_size,"(2.0, 3.0]",increases,0.07067322731018066,3,0.0030153405386954546
household_size,"(3.0, 4.0]",increases,0.07045865058898926,3,0.003006210783496499
household_size,"(4.0, 5.0]",increases,0.07086396217346191,3,0.003023706842213869
home_value,"(-0.001, 236074.8]",decreases,0.06483793258666992,4,-0.0027649253606796265
home_value,"(236074.8, 362837.0]",decreases,0.14987587928771973,4,-0.006388528738170862
home_value,"(362837.0, 488938.8]",decreases,0.006890296936035156,4,-0.0002941843995358795
home_value,"(488938.8, 616146.5]",increases,0.05048513412475586,4,0.0021535693667829037
home_value,"(616146.5, 744684.4]",increases,0.04995465278625488,4,0.0021311973687261343
home_value,"(744684.4, 872619.5]",increases,0.05033612251281738,4,0.002147540682926774
home_value,"(872619.5, 999995.0]",increases,0.04995465278625488,4,0.0021313370671123266
annual_income,"(105053.6, 126332.0]",increases,0.0218808650970459,5,0.0009332839399576187
annual_income,"(126332.0, 348587.0]",increases,0.02167820930480957,5,0.0009243428939953446
annual_income,"(27668.999, 46486.0]",decreases,0.014138221740722656,5,-0.0006031885859556496
annual_income,"(46486.0, 53951.8]",decreases,0.013995170593261719,5,-0.0005972007056698203
annual_income,"(53951.8, 60448.0]",decreases,0.013738870620727539,5,-0.000586309761274606
annual_income,"(60448.0, 67032.0]",decreases,0.008744001388549805,5,-0.00037303808494471014
annual_income,"(67032.0, 74163.5]",decreases,0.008612871170043945,5,-0.0003675948828458786
annual_income,"(74163.5, 82023.4]",decreases,0.00247955322265625,5,-0.00010607900185277686
annual_income,"(82023.4, 91615.6]",increases,0.021630525588989258,5,0.0009226117399521172
annual_income,"(91615.6, 105053.6]",increases,0.021648406982421875,5,0.0009233776945620775
credit_score,"(599.999, 628.0]",decreases,0.00858306884765625,6,-0.00036634603748098016
credit_score,"(628.0, 658.0]",decreases,0.008535385131835938,6,-0.0003643280069809407
credit_score,"(658.0, 687.0]",decreases,0.00858306884765625,6,-0.00036652383278124034
credit_score,"(687.0, 708.0]",decreases,0.007933378219604492,6,-0.00033878671820275486
credit_score,"(708.0, 723.0]",decreases,0.00737309455871582,6,-0.0003146706148982048
credit_score,"(723.0, 739.0]",decreases,0.0038683414459228516,6,-0.0001653227664064616
credit_score,"(739.0, 758.0]",increases,0.0040531158447265625,6,0.0001725338224787265
credit_score,"(758.0, 788.0]",increases,0.019419193267822266,6,0.000828308635391295
credit_score,"(788.0, 818.0]",increases,0.018966197967529297,6,0.0008088265894912183
credit_score,"(818.0, 849.0]",increases,0.019234418869018555,6,0.00082033546641469
heating_type,electric,decreases,0.0,7,0.0
heating_type,gas,decreases,0.0,7,0.0
heating_type,heat_pump,decreases,0.0,7,0.0
heating_type,oil,decreases,0.0,7,0.0
heating_type,solar,decreases,0.0,7,0.0
city,calgary,decreases,0.0,8,0.0
city,edmonton,decreases,0.0,8,0.0
city,hamilton,decreases,0.0,8,0.0
city,london,decreases,0.0,8,0.0
city,toronto,decreases,0.0,8,0.0
city,vancouver,decreases,0.0,8,0.0
city,winnipeg,decreases,0.0,8,0.0
education_level,bachelors,decreases,0.0,9,0.0
education_level,high_school,decreases,0.0,9,0.0
education_level,masters,decreases,0.0,9,0.0
education_level,phd,decreases,0.0,9,0.0
education_level,some_college,decreases,0.0,9,0.0
education_level,trades_certificate,decreases,0.0,9,0.0
customer_segment,affluent_professionals,decreases,0.0,10,0.0
customer_segment,commercial,decreases,0.0,10,0.0
customer_segment,residential_premium,decreases,0.0,10,0.0
customer_segment,residential_standard,decreases,0.0,10,0.0
customer_segment,small_business,decreases,0.0,10,0.0
customer_segment,young_professionals,decreases,0.0,10,0.0
customer_type,commercial,decreases,0.0,11,0.0
customer_type,residential,decreases,0.0,11,0.0
employment_status,employed_ft,decreases,0.0,12,0.0
employment_status,employed_pt,decreases,0.0,12,0.0
employment_status,retired,decreases,0.0,12,0.0
employment_status,self_employed,decreases,0.0,12,0.0
employment_status,unemployed,decreases,0.0,12,0.0
green_energy_preference,False,decreases,0.0,13,0.0
green_energy_preference,True,decreases,0.0,13,0.0
previous_provider,atco,decreases,0.0,14,0.0
previous_provider,direct energy,decreases,0.0,14,0.0
previous_provider,enmax,decreases,0.0,14,0.0
previous_provider,epcor,decreases,0.0,14,0.0
previous_provider,unknown,decreases,0.0,14,0.0
contract_type,fixed_1yr,decreases,0.0,15,0.0
contract_type,fixed_2yr,decreases,0.0,15,0.0
contract_type,fixed_3yr,decreases,0.0,15,0.0
contract_type,month_to_month,decreases,0.0,15,0.0
