Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
monthly_usage_kwh,"(1012.0, 1163.0]",-0.05672496,0.52596605,-1.4118433,0.037019476,1
monthly_usage_kwh,"(1163.0, 1304.0]",0.0044484516,0.54118925,0.11047721,0.037019476,1
monthly_usage_kwh,"(1304.0, 1458.0]",0.027656084,0.546946,0.6861508,0.037019476,1
monthly_usage_kwh,"(1458.0, 1626.0]",0.027484607,0.5469035,0.681901,0.037019476,1
monthly_usage_kwh,"(1626.0, 1833.0]",0.027285328,0.5468541,0.67695975,0.037019476,1
monthly_usage_kwh,"(1833.0, 2101.0]",0.027186753,0.5468297,0.6745219,0.037019476,1
monthly_usage_kwh,"(2101.0, 2513.0]",0.026817083,0.5467381,0.6653607,0.037019476,1
monthly_usage_kwh,"(2513.0, 5348.0]",0.026271297,0.5466028,0.65183043,0.037019476,1
monthly_usage_kwh,"(357.999, 843.0]",-0.058022022,0.52564263,-1.4441848,0.037019476,1
monthly_usage_kwh,"(843.0, 1012.0]",-0.056981977,0.525902,-1.4182508,0.037019476,1
nps_score,"(-22.0, -8.0]",0.00010148494,0.54010963,0.002515316,6.724929e-05,10
nps_score,"(-39.0, -22.0]",0.00010069138,0.54010946,0.0024974346,6.724929e-05,10
nps_score,"(-70.001, -39.0]",9.6287884e-05,0.5401084,0.0023901463,6.724929e-05,10
nps_score,"(-8.0, 1.0]",3.0454994e-05,0.54009205,0.000756979,6.724929e-05,10
nps_score,"(1.0, 8.0]",-1.8969014e-05,0.5400797,-0.00047683716,6.724929e-05,10
nps_score,"(15.0, 21.0]",-1.9456347e-05,0.54007965,-0.00048279762,6.724929e-05,10
nps_score,"(21.0, 28.0]",-2.049546e-05,0.54007936,-0.00051259995,6.724929e-05,10
nps_score,"(28.0, 36.0]",-2.016486e-05,0.5400795,-0.000500679,6.724929e-05,10
nps_score,"(36.0, 64.0]",-0.00019927487,0.540035,-0.0049471855,6.724929e-05,10
nps_score,"(8.0, 15.0]",-1.8901725e-05,0.5400798,-0.0004708767,6.724929e-05,10
price_sensitivity,high,-4.070962e-05,0.54007435,-0.001013279,6.2158986e-05,11
price_sensitivity,low,0.00013270404,0.54011744,0.0032961369,6.2158986e-05,11
price_sensitivity,medium,-3.8054637e-05,0.540075,-0.00094771385,6.2158986e-05,11
peak_demand_kw,"(0.889, 2.65]",-7.771246e-05,0.5400651,-0.001937151,4.8657723e-05,12
peak_demand_kw,"(2.65, 3.24]",-8.6338885e-05,0.540063,-0.0021457672,4.8657723e-05,12
peak_demand_kw,"(3.24, 3.76]",6.496015e-05,0.5401006,0.0016093254,4.8657723e-05,12
peak_demand_kw,"(3.76, 4.26]",5.8148085e-05,0.5400989,0.0014424324,4.8657723e-05,12
peak_demand_kw,"(4.26, 4.79]",4.6313424e-05,0.5400959,0.0011444092,4.8657723e-05,12
peak_demand_kw,"(4.79, 5.4]",3.1926727e-05,0.5400924,0.0007927418,4.8657723e-05,12
peak_demand_kw,"(5.4, 6.13]",2.6012553e-05,0.5400909,0.00064373016,4.8657723e-05,12
peak_demand_kw,"(6.13, 7.07]",2.765413e-05,0.54009134,0.0006854534,4.8657723e-05,12
peak_demand_kw,"(7.07, 8.64]",2.9510244e-05,0.54009175,0.00072717667,4.8657723e-05,12
peak_demand_kw,"(8.64, 21.63]",3.4726392e-05,0.54009306,0.0008583069,4.8657723e-05,12
bill_shock_events,"(-0.001, 1.0]",1.5624262e-05,0.54008836,0.0003874302,3.7741785e-05,13
bill_shock_events,"(1.0, 2.0]",-9.4592186e-05,0.54006094,-0.0023543835,3.7741785e-05,13
bill_shock_events,"(2.0, 4.0]",-9.480773e-05,0.5400609,-0.002360344,3.7741785e-05,13
previous_provider,atco,0.0,0.5400845,0.0,0.0,14
previous_provider,direct energy,0.0,0.5400845,0.0,0.0,14
previous_provider,enmax,0.0,0.5400845,0.0,0.0,14
previous_provider,epcor,0.0,0.5400845,0.0,0.0,14
previous_provider,unknown,0.0,0.5400845,0.0,0.0,14
current_rate_plan,fixed_rate_1yr,0.0,0.5400845,0.0,0.0,15
current_rate_plan,fixed_rate_3yr,0.0,0.5400845,0.0,0.0,15
current_rate_plan,green_plan,0.0,0.5400845,0.0,0.0,15
current_rate_plan,tiered,0.0,0.5400845,0.0,0.0,15
current_rate_plan,time_of_use,0.0,0.5400845,0.0,0.0,15
seasonal_usage_pattern,balanced,0.0,0.5400845,0.0,0.0,16
seasonal_usage_pattern,high_summer,0.0,0.5400845,0.0,0.0,16
seasonal_usage_pattern,high_winter,0.0,0.5400845,0.0,0.0,16
city,calgary,0.0,0.5400845,0.0,0.0,17
city,edmonton,0.0,0.5400845,0.0,0.0,17
city,hamilton,0.0,0.5400845,0.0,0.0,17
city,london,0.0,0.5400845,0.0,0.0,17
city,toronto,0.0,0.5400845,0.0,0.0,17
city,vancouver,0.0,0.5400845,0.0,0.0,17
city,winnipeg,0.0,0.5400845,0.0,0.0,17
heating_type,electric,0.0,0.5400845,0.0,0.0,18
heating_type,gas,0.0,0.5400845,0.0,0.0,18
heating_type,heat_pump,0.0,0.5400845,0.0,0.0,18
heating_type,oil,0.0,0.5400845,0.0,0.0,18
heating_type,solar,0.0,0.5400845,0.0,0.0,18
education_level,bachelors,0.0,0.5400845,0.0,0.0,19
education_level,high_school,0.0,0.5400845,0.0,0.0,19
education_level,masters,0.0,0.5400845,0.0,0.0,19
education_level,phd,0.0,0.5400845,0.0,0.0,19
education_level,some_college,0.0,0.5400845,0.0,0.0,19
education_level,trades_certificate,0.0,0.5400845,0.0,0.0,19
home_ownership,own,0.028087933,0.547053,0.6968498,0.035576265,2
home_ownership,rent,-0.048289053,0.52806884,-1.2015641,0.035576265,2
employment_status,employed_ft,0.0,0.5400845,0.0,0.0,20
employment_status,employed_pt,0.0,0.5400845,0.0,0.0,20
employment_status,retired,0.0,0.5400845,0.0,0.0,20
employment_status,self_employed,0.0,0.5400845,0.0,0.0,20
