feature,feature_group,feature_effect,probability_contribution,Feature_Importance_Rank,SHAP_Value
monthly_usage_kwh,"(1012.0, 1163.0]",decreases,1.4118432998657227,1,-0.05672496184706688
monthly_usage_kwh,"(1163.0, 1304.0]",increases,0.11047720909118652,1,0.004448451567441225
monthly_usage_kwh,"(1304.0, 1458.0]",increases,0.6861507892608643,1,0.027656083926558495
monthly_usage_kwh,"(1458.0, 1626.0]",increases,0.6819009780883789,1,0.027484606951475143
monthly_usage_kwh,"(1626.0, 1833.0]",increases,0.676959753036499,1,0.02728532813489437
monthly_usage_kwh,"(1833.0, 2101.0]",increases,0.6745219230651855,1,0.02718675322830677
monthly_usage_kwh,"(2101.0, 2513.0]",increases,0.665360689163208,1,0.02681708335876465
monthly_usage_kwh,"(2513.0, 5348.0]",increases,0.6518304347991943,1,0.02627129666507244
monthly_usage_kwh,"(357.999, 843.0]",decreases,1.4441847801208496,1,-0.05802202224731445
monthly_usage_kwh,"(843.0, 1012.0]",decreases,1.4182507991790771,1,-0.056981977075338364
home_ownership,own,increases,0.6968498229980469,2,0.028087932616472244
home_ownership,rent,decreases,1.201564073562622,2,-0.04828905314207077
green_energy_preference,False,decreases,0.47011375427246094,3,-0.018912341445684433
green_energy_preference,True,increases,1.4407873153686523,3,0.058156151324510574
annual_income,"(105053.6, 126332.0]",increases,0.7497429847717285,4,0.03022286482155323
annual_income,"(126332.0, 348587.0]",increases,0.7509887218475342,4,0.03027311898767948
annual_income,"(27668.999, 46486.0]",decreases,0.34200549125671387,4,-0.013761092908680439
annual_income,"(46486.0, 53951.8]",decreases,0.34109950065612793,4,-0.013724742457270622
annual_income,"(53951.8, 60448.0]",decreases,0.3418385982513428,4,-0.013754519633948803
annual_income,"(60448.0, 67032.0]",decreases,0.37100911140441895,4,-0.014927608892321587
annual_income,"(67032.0, 74163.5]",decreases,0.3684103488922119,4,-0.014823012053966522
annual_income,"(74163.5, 82023.4]",decreases,0.35169124603271484,4,-0.014150779694318771
annual_income,"(82023.4, 91615.6]",decreases,0.11355280876159668,4,-0.00457066809758544
annual_income,"(91615.6, 105053.6]",increases,0.7728457450866699,4,0.031155161559581757
avg_monthly_bill,"(109.0, 131.0]",decreases,0.3087937831878662,5,-0.01242560613900423
avg_monthly_bill,"(131.0, 150.0]",decreases,0.2961575984954834,5,-0.01191722322255373
avg_monthly_bill,"(150.0, 169.0]",increases,0.04393458366394043,5,0.0017691460670903325
avg_monthly_bill,"(169.0, 189.0]",increases,0.14997124671936035,5,0.006039200816303492
avg_monthly_bill,"(189.0, 211.0]",increases,0.14728903770446777,5,0.005931192077696323
avg_monthly_bill,"(211.0, 238.0]",increases,0.14412403106689453,5,0.00580377783626318
avg_monthly_bill,"(238.0, 272.0]",increases,0.14133453369140625,5,0.005691227037459612
avg_monthly_bill,"(272.0, 328.0]",increases,0.13620853424072266,5,0.005484785884618759
avg_monthly_bill,"(328.0, 717.0]",increases,0.12725591659545898,5,0.005124315619468689
avg_monthly_bill,"(43.999, 109.0]",decreases,0.31120777130126953,5,-0.012522514909505844
home_value,"(-0.001, 236074.8]",decreases,0.12534260749816895,6,-0.005044969730079174
home_value,"(236074.8, 362837.0]",increases,0.08420348167419434,6,0.003390335710719228
home_value,"(362837.0, 488938.8]",increases,0.08379220962524414,6,0.003373730229213834
home_value,"(488938.8, 616146.5]",increases,0.08488297462463379,6,0.0034178162459284067
home_value,"(616146.5, 744684.4]",increases,0.08465051651000977,6,0.003408608725294471
home_value,"(744684.4, 872619.5]",increases,0.08407831192016602,6,0.0033853508066385984
home_value,"(872619.5, 999995.0]",increases,0.08470416069030762,6,0.0034106450621038675
property_age,"(10.0, 15.0]",increases,0.08365511894226074,7,0.0033686256501823664
property_age,"(15.0, 20.0]",increases,0.08330345153808594,7,0.003354208543896675
property_age,"(20.0, 25.0]",increases,0.08307695388793945,7,0.0033452340867370367
property_age,"(25.0, 30.0]",increases,0.05181431770324707,7,0.0020863618701696396
property_age,"(30.0, 35.0]",decreases,0.07796883583068848,7,-0.0031383023597300053
property_age,"(35.0, 39.0]",decreases,0.0804901123046875,7,-0.00323992851190269
property_age,"(39.0, 44.0]",decreases,0.08017420768737793,7,-0.0032271184027194977
property_age,"(4.999, 10.0]",increases,0.0836789608001709,7,0.0033695530146360397
property_age,"(44.0, 50.0]",decreases,0.08046627044677734,7,-0.003238748526200652
property_age,"(50.0, 54.0]",decreases,0.08046627044677734,7,-0.0032388221006840467
credit_score,"(599.999, 628.0]",decreases,0.04140734672546387,8,-0.0016666790470480919
credit_score,"(628.0, 658.0]",decreases,0.04164576530456543,8,-0.0016763537423685193
credit_score,"(658.0, 687.0]",decreases,0.041550397872924805,8,-0.0016725203022360802
credit_score,"(687.0, 708.0]",decreases,0.022494792938232422,8,-0.0009055050904862583
credit_score,"(708.0, 723.0]",decreases,0.00928640365600586,8,-0.00037385421455837786
credit_score,"(723.0, 739.0]",decreases,0.009620189666748047,8,-0.00038712998502887785
credit_score,"(739.0, 758.0]",increases,0.013774633407592773,8,0.0005546559114009142
credit_score,"(758.0, 788.0]",increases,0.06618499755859375,8,0.002665022388100624
credit_score,"(788.0, 818.0]",increases,0.06552934646606445,8,0.002638555597513914
credit_score,"(818.0, 849.0]",increases,0.06611347198486328,8,0.0026619459968060255
customer_segment,affluent_professionals,increases,0.013118982315063477,9,0.0005281216581352055
customer_segment,commercial,decreases,0.03758072853088379,9,-0.0015125797362998128
customer_segment,residential_premium,increases,0.01062154769897461,9,0.00042762860539369285
customer_segment,residential_standard,decreases,0.01978278160095215,9,-0.0007962645613588393
customer_segment,small_business,increases,0.0015020370483398438,9,6.055780249880627e-05
customer_segment,young_professionals,decreases,0.015908479690551758,9,-0.0006404526648111641
nps_score,"(-22.0, -8.0]",increases,0.0025153160095214844,10,0.0001014849403873086
nps_score,"(-39.0, -22.0]",increases,0.002497434616088867,10,0.00010069138079416007
nps_score,"(-70.001, -39.0]",increases,0.002390146255493164,10,9.628788393456489e-05
nps_score,"(-8.0, 1.0]",increases,0.0007569789886474609,10,3.04549939755816e-05
nps_score,"(1.0, 8.0]",decreases,0.000476837158203125,10,-1.8969014490721747e-05
nps_score,"(15.0, 21.0]",decreases,0.00048279762268066406,10,-1.9456347217783332e-05
nps_score,"(21.0, 28.0]",decreases,0.0005125999450683594,10,-2.049545946647413e-05
nps_score,"(28.0, 36.0]",decreases,0.0005006790161132812,10,-2.0164859961369075e-05
nps_score,"(36.0, 64.0]",decreases,0.004947185516357422,10,-0.0001992748730117455
nps_score,"(8.0, 15.0]",decreases,0.00047087669372558594,10,-1.8901724615716375e-05
price_sensitivity,high,decreases,0.0010132789611816406,11,-4.070961949764751e-05
price_sensitivity,low,increases,0.0032961368560791016,11,0.0001327040372416377
price_sensitivity,medium,decreases,0.0009477138519287109,11,-3.8054637116147205e-05
peak_demand_kw,"(0.889, 2.65]",decreases,0.0019371509552001953,12,-7.771245873300359e-05
peak_demand_kw,"(2.65, 3.24]",decreases,0.0021457672119140625,12,-8.633888501208276e-05
peak_demand_kw,"(3.24, 3.76]",increases,0.0016093254089355469,12,6.49601497570984e-05
peak_demand_kw,"(3.76, 4.26]",increases,0.0014424324035644531,12,5.814808537252247e-05
peak_demand_kw,"(4.26, 4.79]",increases,0.0011444091796875,12,4.6313423808896914e-05
peak_demand_kw,"(4.79, 5.4]",increases,0.0007927417755126953,12,3.192672738805413e-05
peak_demand_kw,"(5.4, 6.13]",increases,0.0006437301635742188,12,2.6012552552856505e-05
peak_demand_kw,"(6.13, 7.07]",increases,0.0006854534149169922,12,2.7654130462906323e-05
peak_demand_kw,"(7.07, 8.64]",increases,0.0007271766662597656,12,2.9510243621189147e-05
peak_demand_kw,"(8.64, 21.63]",increases,0.000858306884765625,12,3.4726392186712474e-05
bill_shock_events,"(-0.001, 1.0]",increases,0.00038743019104003906,13,1.5624262232449837e-05
bill_shock_events,"(1.0, 2.0]",decreases,0.0023543834686279297,13,-9.459218563279137e-05
bill_shock_events,"(2.0, 4.0]",decreases,0.0023603439331054688,13,-9.480772860115394e-05
previous_provider,atco,decreases,0.0,14,0.0
previous_provider,direct energy,decreases,0.0,14,0.0
previous_provider,enmax,decreases,0.0,14,0.0
previous_provider,epcor,decreases,0.0,14,0.0
previous_provider,unknown,decreases,0.0,14,0.0
current_rate_plan,fixed_rate_1yr,decreases,0.0,15,0.0
current_rate_plan,fixed_rate_3yr,decreases,0.0,15,0.0
current_rate_plan,green_plan,decreases,0.0,15,0.0
current_rate_plan,tiered,decreases,0.0,15,0.0
current_rate_plan,time_of_use,decreases,0.0,15,0.0
seasonal_usage_pattern,balanced,decreases,0.0,16,0.0
seasonal_usage_pattern,high_summer,decreases,0.0,16,0.0
seasonal_usage_pattern,high_winter,decreases,0.0,16,0.0
city,calgary,decreases,0.0,17,0.0
city,edmonton,decreases,0.0,17,0.0
city,hamilton,decreases,0.0,17,0.0
city,london,decreases,0.0,17,0.0
city,toronto,decreases,0.0,17,0.0
city,vancouver,decreases,0.0,17,0.0
city,winnipeg,decreases,0.0,17,0.0
heating_type,electric,decreases,0.0,18,0.0
heating_type,gas,decreases,0.0,18,0.0
heating_type,heat_pump,decreases,0.0,18,0.0
heating_type,oil,decreases,0.0,18,0.0
heating_type,solar,decreases,0.0,18,0.0
education_level,bachelors,decreases,0.0,19,0.0
education_level,high_school,decreases,0.0,19,0.0
education_level,masters,decreases,0.0,19,0.0
education_level,phd,decreases,0.0,19,0.0
education_level,some_college,decreases,0.0,19,0.0
education_level,trades_certificate,decreases,0.0,19,0.0
employment_status,employed_ft,decreases,0.0,20,0.0
employment_status,employed_pt,decreases,0.0,20,0.0
employment_status,retired,decreases,0.0,20,0.0
employment_status,self_employed,decreases,0.0,20,0.0
employment_status,unemployed,decreases,0.0,20,0.0
customer_type,commercial,decreases,0.0,21,0.0
customer_type,residential,decreases,0.0,21,0.0
contract_type,fixed_1yr,decreases,0.0,22,0.0
contract_type,fixed_2yr,decreases,0.0,22,0.0
