Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
monthly_usage_kwh,"(1012.0, 1163.0]",-0.2901091,0.4843141,-7.227859,0.30747536,1
monthly_usage_kwh,"(1163.0, 1304.0]",-0.287084,0.48506963,-7.152307,0.30747536,1
monthly_usage_kwh,"(1304.0, 1458.0]",-0.2833252,0.48600855,-7.058415,0.30747536,1
monthly_usage_kwh,"(1458.0, 1626.0]",0.15968286,0.595567,3.8974285,0.30747536,1
monthly_usage_kwh,"(1626.0, 1833.0]",0.33202484,0.6363067,7.9714003,0.30747536,1
monthly_usage_kwh,"(1833.0, 2101.0]",0.33124167,0.63612545,7.9532743,0.30747536,1
monthly_usage_kwh,"(2101.0, 2513.0]",0.32811064,0.6354004,7.880771,0.30747536,1
monthly_usage_kwh,"(2513.0, 5348.0]",0.32232115,0.6340581,7.7465415,0.30747536,1
monthly_usage_kwh,"(357.999, 843.0]",-0.2969448,0.48260704,-7.3985667,0.30747536,1
monthly_usage_kwh,"(843.0, 1012.0]",-0.29401302,0.48333913,-7.3253574,0.30747536,1
nps_score,"(-22.0, -8.0]",0.0008153857,0.5567939,0.020122528,0.00054554344,10
nps_score,"(-39.0, -22.0]",0.0009031656,0.55681556,0.022286177,0.00054554344,10
nps_score,"(-70.001, -39.0]",0.00091090816,0.5568175,0.022476912,0.00054554344,10
nps_score,"(-8.0, 1.0]",-0.00031167202,0.55651575,-0.0076949596,0.00054554344,10
nps_score,"(1.0, 8.0]",-0.00039305398,0.55649567,-0.009703636,0.00054554344,10
nps_score,"(15.0, 21.0]",-0.00039055207,0.5564963,-0.009638071,0.00054554344,10
nps_score,"(21.0, 28.0]",-0.0004205288,0.5564889,-0.010383129,0.00054554344,10
nps_score,"(28.0, 36.0]",-0.00042313818,0.5564883,-0.010442734,0.00054554344,10
nps_score,"(36.0, 64.0]",-0.00041908468,0.5564892,-0.010347366,0.00054554344,10
nps_score,"(8.0, 15.0]",-0.00038866285,0.5564968,-0.009590387,0.00054554344,10
call_center_interactions_12m,"(-0.001, 2.0]",0.0002548595,0.5566556,0.00628829,0.00035528615,11
call_center_interactions_12m,"(11.0, 16.0]",-0.00045776437,0.55647975,-0.01129508,0.00035528615,11
call_center_interactions_12m,"(2.0, 3.0]",0.00026548898,0.5566582,0.0065505505,0.00035528615,11
call_center_interactions_12m,"(3.0, 4.0]",0.00027937832,0.5566616,0.006890297,0.00035528615,11
call_center_interactions_12m,"(4.0, 5.0]",0.00030152762,0.5566671,0.0074386597,0.00035528615,11
call_center_interactions_12m,"(5.0, 6.0]",0.0003535946,0.55667996,0.00872612,0.00035528615,11
call_center_interactions_12m,"(6.0, 7.0]",0.0004395928,0.5567012,0.010848045,0.00035528615,11
call_center_interactions_12m,"(7.0, 9.0]",0.00012514138,0.5566236,0.0030875206,0.00035528615,11
call_center_interactions_12m,"(9.0, 11.0]",-0.0005017216,0.55646884,-0.012385845,0.00035528615,11
annual_income,"(105053.6, 126332.0]",0.00059179723,0.5567388,0.014609098,0.00031263233,12
annual_income,"(126332.0, 348587.0]",0.0002847048,0.556663,0.0070273876,0.00031263233,12
annual_income,"(27668.999, 46486.0]",-5.0197166e-05,0.5565803,-0.0012397766,0.00031263233,12
annual_income,"(46486.0, 53951.8]",-3.7106085e-05,0.5565835,-0.00091791153,0.00031263233,12
annual_income,"(53951.8, 60448.0]",-5.826253e-05,0.5565783,-0.0014424324,0.00031263233,12
annual_income,"(60448.0, 67032.0]",-0.00019373815,0.55654484,-0.004786253,0.00031263233,12
annual_income,"(67032.0, 74163.5]",-0.00019476992,0.5565446,-0.004810095,0.00031263233,12
annual_income,"(74163.5, 82023.4]",-0.00018993928,0.5565458,-0.0046908855,0.00031263233,12
annual_income,"(82023.4, 91615.6]",-0.00018675653,0.5565466,-0.004607439,0.00031263233,12
annual_income,"(91615.6, 105053.6]",0.00016769278,0.55663407,0.0041365623,0.00031263233,12
complaint_history,"(-0.001, 1.0]",0.00019387856,0.55664057,0.004786253,0.00025303665,13
complaint_history,"(1.0, 3.0]",-5.308571e-06,0.5565914,-0.00013113022,0.00025303665,13
complaint_history,"(3.0, 4.0]",0.0001798698,0.55663705,0.0044345856,0.00025303665,13
complaint_history,"(4.0, 5.0]",-0.0003319651,0.55651075,-0.008195639,0.00025303665,13
home_ownership,own,0.00015740193,0.5566315,0.0038802624,0.00019708258,14
home_ownership,rent,-0.00026444765,0.55652744,-0.0065267086,0.00019708258,14
website_visits_monthly,"(0.099, 2.6]",-9.198889e-05,0.55657,-0.002270937,0.00015387952,15
website_visits_monthly,"(10.9, 15.5]",-0.00027317405,0.5565253,-0.0067412853,0.00015387952,15
website_visits_monthly,"(2.6, 3.6]",-9.170318e-05,0.55657005,-0.0022649765,0.00015387952,15
website_visits_monthly,"(3.6, 4.4]",-3.1126285e-05,0.556585,-0.0007688999,0.00015387952,15
website_visits_monthly,"(4.4, 5.1]",1.7184535e-05,0.55659693,0.00042319298,0.00015387952,15
website_visits_monthly,"(5.1, 5.8]",1.5739975e-05,0.5565966,0.0003874302,0.00015387952,15
website_visits_monthly,"(5.8, 6.7]",9.1446986e-05,0.55661523,0.0022530556,0.00015387952,15
website_visits_monthly,"(6.7, 7.6]",0.00011863175,0.55662197,0.002926588,0.00015387952,15
website_visits_monthly,"(7.6, 8.9]",0.000118176424,0.55662185,0.0029146671,0.00015387952,15
website_visits_monthly,"(8.9, 10.9]",0.000121169694,0.5566226,0.0029921532,0.00015387952,15
app_usage_monthly,"(-0.001, 2.4]",-0.00014157913,0.5565578,-0.0034928322,6.642901e-05,16
app_usage_monthly,"(10.7, 12.7]",6.297086e-05,0.5566082,0.0015497208,6.642901e-05,16
app_usage_monthly,"(12.7, 14.7]",6.3876374e-05,0.55660844,0.0015735626,6.642901e-05,16
app_usage_monthly,"(14.7, 21.0]",6.4648964e-05,0.5566087,0.0015974045,6.642901e-05,16
app_usage_monthly,"(2.4, 4.7]",-0.000102898026,0.5565673,-0.0025391579,6.642901e-05,16
app_usage_monthly,"(21.0, 28.0]",6.688681e-05,0.55660915,0.0016450882,6.642901e-05,16
app_usage_monthly,"(28.0, 35.0]",6.448156e-05,0.5566086,0.001591444,6.642901e-05,16
app_usage_monthly,"(4.7, 6.8]",-3.1374057e-05,0.55658495,-0.0007748604,6.642901e-05,16
app_usage_monthly,"(6.8, 8.7]",-3.0433826e-05,0.5565852,-0.0007510185,6.642901e-05,16
app_usage_monthly,"(8.7, 10.7]",-2.142702e-05,0.5565874,-0.00053048134,6.642901e-05,16
service_interruptions_12m,"(-0.001, 1.0]",9.332763e-05,0.5566157,0.0023007393,5.6230398e-05,17
service_interruptions_12m,"(1.0, 3.0]",9.3341e-05,0.5566157,0.0023007393,5.6230398e-05,17
service_interruptions_12m,"(3.0, 4.0]",-2.328164e-05,0.5565869,-0.00057816505,5.6230398e-05,17
service_interruptions_12m,"(4.0, 5.0]",-2.3688901e-05,0.55658686,-0.0005841255,5.6230398e-05,17
service_interruptions_12m,"(5.0, 6.0]",-3.6229078e-05,0.55658376,-0.0008940697,5.6230398e-05,17
service_interruptions_12m,"(6.0, 7.0]",-3.6016892e-05,0.5565838,-0.0008881092,5.6230398e-05,17
service_interruptions_12m,"(7.0, 8.0]",-3.3699467e-05,0.5565844,-0.00082850456,5.6230398e-05,17
service_interruptions_12m,"(8.0, 9.0]",-3.622096e-05,0.55658376,-0.0008940697,5.6230398e-05,17
previous_provider,atco,-3.378787e-05,0.55658436,-0.000834465,4.3356085e-05,18
previous_provider,direct energy,-3.4493663e-05,0.5565842,-0.0008523464,4.3356085e-05,18
previous_provider,enmax,5.8485e-05,0.5566071,0.0014424324,4.3356085e-05,18
previous_provider,epcor,5.917271e-05,0.5566073,0.0014603138,4.3356085e-05,18
previous_provider,unknown,-3.384421e-05,0.5565843,-0.0008404255,4.3356085e-05,18
age,"(24.999, 33.0]",0.00014816827,0.5566293,0.0036597252,3.8151207e-05,19
age,"(33.0, 36.0]",-2.129738e-05,0.55658746,-0.0005245209,3.8151207e-05,19
age,"(36.0, 40.0]",-2.154607e-05,0.5565874,-0.00053048134,3.8151207e-05,19
age,"(40.0, 43.0]",-2.1177559e-05,0.55658746,-0.0005245209,3.8151207e-05,19
age,"(43.0, 46.0]",-2.0751415e-05,0.5565875,-0.0005185604,3.8151207e-05,19
age,"(46.0, 50.0]",-2.1161386e-05,0.55658746,-0.0005245209,3.8151207e-05,19
age,"(50.0, 55.0]",-2.1208876e-05,0.55658746,-0.0005245209,3.8151207e-05,19
age,"(55.0, 60.0]",-2.140737e-05,0.5565874,-0.00053048134,3.8151207e-05,19
age,"(60.0, 65.0]",-2.1623975e-05,0.55658734,-0.0005364418,3.8151207e-05,19
age,"(65.0, 69.0]",-2.0717342e-05,0.55658764,-0.0005066395,3.8151207e-05,19
property_age,"(10.0, 15.0]",-0.15667598,0.5176599,-3.89328,0.10317869,2
property_age,"(15.0, 20.0]",-0.15725772,0.51751465,-3.9078057,0.10317869,2
property_age,"(20.0, 25.0]",0.085667185,0.5776203,2.1027625,0.10317869,2
property_age,"(25.0, 30.0]",0.0855683,0.5775962,2.1003485,0.10317869,2
property_age,"(30.0, 35.0]",0.075323835,0.5750948,1.8502116,0.10317869,2
property_age,"(35.0, 39.0]",0.07517107,0.57505745,1.8464744,0.10317869,2
property_age,"(39.0, 44.0]",0.07484113,0.5749768,1.8384099,0.10317869,2
property_age,"(4.999, 10.0]",-0.15714943,0.51754165,-3.9051056,0.10317869,2
property_age,"(44.0, 50.0]",0.07460408,0.57491887,1.8326163,0.10317869,2
property_age,"(50.0, 54.0]",0.0742955,0.57484347,1.8250763,0.10317869,2
city,calgary,-3.8061255e-05,0.5565833,-0.0009417534,3.1915137e-05,20
city,edmonton,2.7686194e-05,0.5565995,0.00067949295,3.1915137e-05,20
city,hamilton,-3.8098355e-05,0.5565833,-0.0009417534,3.1915137e-05,20
city,london,2.8811328e-05,0.5565998,0.0007092953,3.1915137e-05,20
city,toronto,-3.68732e-05,0.55658364,-0.0009059906,3.1915137e-05,20
city,vancouver,2.693996e-05,0.5565994,0.000667572,3.1915137e-05,20
city,winnipeg,2.704357e-05,0.5565994,0.000667572,3.1915137e-05,20
credit_score,"(599.999, 628.0]",1.7353124e-05,0.556597,0.00042915344,2.5239635e-05,21
credit_score,"(628.0, 658.0]",1.7016542e-05,0.5565969,0.0004172325,2.5239635e-05,21
credit_score,"(658.0, 687.0]",1.6425303e-05,0.55659676,0.00040531158,2.5239635e-05,21
credit_score,"(687.0, 708.0]",1.7574217e-05,0.55659705,0.0004351139,2.5239635e-05,21
credit_score,"(708.0, 723.0]",1.670097e-05,0.5565969,0.0004172325,2.5239635e-05,21
credit_score,"(723.0, 739.0]",1.6449614e-05,0.55659676,0.00040531158,2.5239635e-05,21
credit_score,"(739.0, 758.0]",1.4347039e-05,0.5565963,0.00035762787,2.5239635e-05,21
credit_score,"(758.0, 788.0]",1.3302279e-05,0.556596,0.00032782555,2.5239635e-05,21
credit_score,"(788.0, 818.0]",-3.9042287e-05,0.55658305,-0.00096559525,2.5239635e-05,21
credit_score,"(818.0, 849.0]",-8.100911e-05,0.5565727,-0.002002716,2.5239635e-05,21
green_energy_preference,False,0.0,0.5565927,0.0,0.0,22
green_energy_preference,True,0.0,0.5565927,0.0,0.0,22
current_rate_plan,fixed_rate_1yr,0.0,0.5565927,0.0,0.0,23
current_rate_plan,fixed_rate_3yr,0.0,0.5565927,0.0,0.0,23
current_rate_plan,green_plan,0.0,0.5565927,0.0,0.0,23
current_rate_plan,tiered,0.0,0.5565927,0.0,0.0,23
current_rate_plan,time_of_use,0.0,0.5565927,0.0,0.0,23
contract_type,fixed_1yr,0.0,0.5565927,0.0,0.0,24
contract_type,fixed_2yr,0.0,0.5565927,0.0,0.0,24
contract_type,fixed_3yr,0.0,0.5565927,0.0,0.0,24
contract_type,month_to_month,0.0,0.5565927,0.0,0.0,24
customer_type,commercial,0.0,0.5565927,0.0,0.0,25
customer_type,residential,0.0,0.5565927,0.0,0.0,25
customer_segment,affluent_professionals,0.0,0.5565927,0.0,0.0,26
customer_segment,commercial,0.0,0.5565927,0.0,0.0,26
customer_segment,residential_premium,0.0,0.5565927,0.0,0.0,26
customer_segment,residential_standard,0.0,0.5565927,0.0,0.0,26
customer_segment,small_business,0.0,0.5565927,0.0,0.0,26
customer_segment,young_professionals,0.0,0.5565927,0.0,0.0,26
employment_status,employed_ft,0.0,0.5565927,0.0,0.0,27
employment_status,employed_pt,0.0,0.5565927,0.0,0.0,27
employment_status,retired,0.0,0.5565927,0.0,0.0,27
employment_status,self_employed,0.0,0.5565927,0.0,0.0,27
employment_status,unemployed,0.0,0.5565927,0.0,0.0,27
education_level,bachelors,0.0,0.5565927,0.0,0.0,28
education_level,high_school,0.0,0.5565927,0.0,0.0,28
education_level,masters,0.0,0.5565927,0.0,0.0,28
education_level,phd,0.0,0.5565927,0.0,0.0,28
education_level,some_college,0.0,0.5565927,0.0,0.0,28
education_level,trades_certificate,0.0,0.5565927,0.0,0.0,28
home_value,"(-0.001, 236074.8]",0.0,0.5565927,0.0,0.0,29
home_value,"(236074.8, 362837.0]",0.0,0.5565927,0.0,0.0,29
home_value,"(362837.0, 488938.8]",0.0,0.5565927,0.0,0.0,29
home_value,"(488938.8, 616146.5]",0.0,0.5565927,0.0,0.0,29
home_value,"(616146.5, 744684.4]",0.0,0.5565927,0.0,0.0,29
home_value,"(744684.4, 872619.5]",0.0,0.5565927,0.0,0.0,29
home_value,"(872619.5, 999995.0]",0.0,0.5565927,0.0,0.0,29
avg_monthly_bill,"(109.0, 131.0]",-0.09718561,0.53249395,-2.4098754,0.10150531,3
avg_monthly_bill,"(131.0, 150.0]",-0.095039606,0.5330282,-2.3564517,0.10150531,3
avg_monthly_bill,"(150.0, 169.0]",-0.095014125,0.5330345,-2.35582,0.10150531,3
avg_monthly_bill,"(169.0, 189.0]",-0.081564784,0.53638065,-2.0212054,0.10150531,3
avg_monthly_bill,"(189.0, 211.0]",0.025633281,0.5629094,0.63167214,0.10150531,3
avg_monthly_bill,"(211.0, 238.0]",0.120033234,0.58598167,2.9388964,0.10150531,3
avg_monthly_bill,"(238.0, 272.0]",0.119243756,0.5857901,2.9197395,0.10150531,3
avg_monthly_bill,"(272.0, 328.0]",0.11772918,0.5854226,2.8829873,0.10150531,3
avg_monthly_bill,"(328.0, 717.0]",0.1151958,0.5848076,2.8214872,0.10150531,3
avg_monthly_bill,"(43.999, 109.0]",-0.09811831,0.5322617,-2.4330974,0.10150531,3
business_type,manufacturing,0.0,0.5565927,0.0,0.0,30
business_type,office,0.0,0.5565927,0.0,0.0,30
business_type,restaurant,0.0,0.5565927,0.0,0.0,30
business_type,retail,0.0,0.5565927,0.0,0.0,30
business_type,unknown,0.0,0.5565927,0.0,0.0,30
business_type,warehouse,0.0,0.5565927,0.0,0.0,30
business_size,large,0.0,0.5565927,0.0,0.0,31
business_size,medium,0.0,0.5565927,0.0,0.0,31
business_size,small,0.0,0.5565927,0.0,0.0,31
business_size,unknown,0.0,0.5565927,0.0,0.0,31
