feature,feature_group,feature_effect,probability_contribution,Feature_Importance_Rank,SHAP_Value
monthly_usage_kwh,"(1012.0, 1163.0]",decreases,7.227859020233154,1,-0.2901090979576111
monthly_usage_kwh,"(1163.0, 1304.0]",decreases,7.152307033538818,1,-0.28708401322364807
monthly_usage_kwh,"(1304.0, 1458.0]",decreases,7.058414936065674,1,-0.2833251953125
monthly_usage_kwh,"(1458.0, 1626.0]",increases,3.897428512573242,1,0.15968285501003265
monthly_usage_kwh,"(1626.0, 1833.0]",increases,7.971400260925293,1,0.33202484250068665
monthly_usage_kwh,"(1833.0, 2101.0]",increases,7.953274250030518,1,0.3312416672706604
monthly_usage_kwh,"(2101.0, 2513.0]",increases,7.880771160125732,1,0.32811063528060913
monthly_usage_kwh,"(2513.0, 5348.0]",increases,7.746541500091553,1,0.3223211467266083
monthly_usage_kwh,"(357.999, 843.0]",decreases,7.398566722869873,1,-0.296944797039032
monthly_usage_kwh,"(843.0, 1012.0]",decreases,7.325357437133789,1,-0.29401302337646484
property_age,"(10.0, 15.0]",decreases,3.893280029296875,2,-0.15667597949504852
property_age,"(15.0, 20.0]",decreases,3.9078056812286377,2,-0.15725772082805634
property_age,"(20.0, 25.0]",increases,2.102762460708618,2,0.085667185485363
property_age,"(25.0, 30.0]",increases,2.100348472595215,2,0.08556830137968063
property_age,"(30.0, 35.0]",increases,1.8502116203308105,2,0.07532383501529694
property_age,"(35.0, 39.0]",increases,1.8464744091033936,2,0.07517106831073761
property_age,"(39.0, 44.0]",increases,1.8384099006652832,2,0.07484112679958344
property_age,"(4.999, 10.0]",decreases,3.9051055908203125,2,-0.15714943408966064
property_age,"(44.0, 50.0]",increases,1.8326163291931152,2,0.0746040791273117
property_age,"(50.0, 54.0]",increases,1.8250763416290283,2,0.07429549843072891
avg_monthly_bill,"(109.0, 131.0]",decreases,2.4098753929138184,3,-0.09718561172485352
avg_monthly_bill,"(131.0, 150.0]",decreases,2.3564517498016357,3,-0.09503960609436035
avg_monthly_bill,"(150.0, 169.0]",decreases,2.3558199405670166,3,-0.09501412510871887
avg_monthly_bill,"(169.0, 189.0]",decreases,2.021205425262451,3,-0.08156478404998779
avg_monthly_bill,"(189.0, 211.0]",increases,0.6316721439361572,3,0.025633281096816063
avg_monthly_bill,"(211.0, 238.0]",increases,2.938896417617798,3,0.12003323435783386
avg_monthly_bill,"(238.0, 272.0]",increases,2.9197394847869873,3,0.11924375593662262
avg_monthly_bill,"(272.0, 328.0]",increases,2.8829872608184814,3,0.11772917956113815
avg_monthly_bill,"(328.0, 717.0]",increases,2.8214871883392334,3,0.11519580334424973
avg_monthly_bill,"(43.999, 109.0]",decreases,2.4330973625183105,3,-0.09811831265687943
bill_shock_events,"(-0.001, 1.0]",decreases,0.7740616798400879,4,-0.03131133317947388
bill_shock_events,"(1.0, 2.0]",increases,4.340213775634766,4,0.17809870839118958
bill_shock_events,"(2.0, 4.0]",increases,4.34260368347168,4,0.1781984120607376
heating_type,electric,increases,0.9273767471313477,5,0.03766104578971863
heating_type,gas,decreases,0.5316972732543945,5,-0.021518539637327194
heating_type,heat_pump,decreases,0.23025870323181152,5,-0.009324973449110985
heating_type,oil,decreases,0.4855930805206299,5,-0.01965443231165409
heating_type,solar,increases,0.6287872791290283,5,0.025516096502542496
peak_demand_kw,"(0.889, 2.65]",decreases,0.4798293113708496,6,-0.01942155323922634
peak_demand_kw,"(2.65, 3.24]",decreases,0.4556238651275635,6,-0.018442563712596893
peak_demand_kw,"(3.24, 3.76]",decreases,0.45035481452941895,6,-0.018229614943265915
peak_demand_kw,"(3.76, 4.26]",decreases,0.2787590026855469,6,-0.011287885718047619
peak_demand_kw,"(4.26, 4.79]",decreases,0.08653402328491211,6,-0.0035055954940617085
peak_demand_kw,"(4.79, 5.4]",decreases,0.03316998481750488,6,-0.0013438131427392364
peak_demand_kw,"(5.4, 6.13]",increases,0.21076202392578125,6,0.008544047363102436
