Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
green_energy_preference,False,-0.045983374,0.35484168,-1.0595828,0.06748959,1
green_energy_preference,True,0.1299774,0.39607102,3.063351,0.06748959,1
service_interruptions_12m,"(-0.001, 1.0]",0.00059213507,0.36557484,0.01373291,0.00047166977,10
service_interruptions_12m,"(1.0, 3.0]",0.00059020304,0.36557436,0.013685226,0.00047166977,10
service_interruptions_12m,"(3.0, 4.0]",-0.00039019223,0.36534706,-0.009045005,0.00047166977,10
service_interruptions_12m,"(4.0, 5.0]",-0.00039273317,0.36534646,-0.0091046095,0.00047166977,10
service_interruptions_12m,"(5.0, 6.0]",-0.00039377162,0.36534622,-0.009128451,0.00047166977,10
service_interruptions_12m,"(6.0, 7.0]",-0.00039086633,0.36534685,-0.0090658665,0.00047166977,10
service_interruptions_12m,"(7.0, 8.0]",-0.0003937713,0.36534622,-0.009128451,0.00047166977,10
service_interruptions_12m,"(8.0, 9.0]",-0.00039155807,0.36534673,-0.009077787,0.00047166977,10
education_level,bachelors,0.00012471275,0.36546645,0.0028938055,0.00026432733,11
education_level,high_school,-0.00014057993,0.3654049,-0.003260374,0.00026432733,11
education_level,masters,0.0055863746,0.36673388,0.12963712,0.00026432733,11
education_level,phd,6.3141444e-05,0.36545217,0.0014662743,0.00026432733,11
education_level,some_college,-0.00015437423,0.36540172,-0.003579259,0.00026432733,11
education_level,trades_certificate,-0.00016743512,0.36539868,-0.0038832426,0.00026432733,11
city,calgary,-0.00015487574,0.3654016,-0.0035911798,0.00022233109,12
city,edmonton,-0.00015387996,0.36540183,-0.003567338,0.00022233109,12
city,hamilton,-0.00015628798,0.3654013,-0.0036209822,0.00022233109,12
city,london,0.00038232643,0.36552614,0.008863211,0.00022233109,12
city,toronto,-0.00015569845,0.36540142,-0.0036090612,0.00022233109,12
city,vancouver,-0.00015749327,0.36540097,-0.0036537647,0.00022233109,12
city,winnipeg,0.0003944702,0.36552897,0.009146333,0.00022233109,12
call_center_interactions_12m,"(-0.001, 2.0]",0.00012064091,0.36546546,0.0027954578,0.00010486876,13
call_center_interactions_12m,"(11.0, 16.0]",-9.1959264e-05,0.3654162,-0.002130866,0.00010486876,13
call_center_interactions_12m,"(2.0, 3.0]",0.000118844095,0.36546507,0.0027567148,0.00010486876,13
call_center_interactions_12m,"(3.0, 4.0]",0.00012063757,0.36546546,0.0027954578,0.00010486876,13
call_center_interactions_12m,"(4.0, 5.0]",-9.7240816e-05,0.36541498,-0.0022530556,0.00010486876,13
call_center_interactions_12m,"(5.0, 6.0]",-9.683611e-05,0.36541504,-0.002247095,0.00010486876,13
call_center_interactions_12m,"(6.0, 7.0]",-9.455094e-05,0.36541557,-0.002193451,0.00010486876,13
call_center_interactions_12m,"(7.0, 9.0]",-9.1244285e-05,0.36541635,-0.002115965,0.00010486876,13
