feature,feature_group,feature_effect,probability_contribution,Feature_Importance_Rank,SHAP_Value
green_energy_preference,False,decreases,1.0595828294754028,1,-0.04598337411880493
green_energy_preference,True,increases,3.0633509159088135,1,0.12997740507125854
annual_income,"(105053.6, 126332.0]",increases,1.2808769941329956,2,0.054841868579387665
annual_income,"(126332.0, 348587.0]",increases,1.283794641494751,2,0.054966121912002563
annual_income,"(27668.999, 46486.0]",decreases,1.212543249130249,2,-0.0526716373860836
annual_income,"(46486.0, 53951.8]",decreases,1.2036532163619995,2,-0.05228257179260254
annual_income,"(53951.8, 60448.0]",decreases,1.2024223804473877,2,-0.05222861096262932
annual_income,"(60448.0, 67032.0]",decreases,1.2015581130981445,2,-0.052190832793712616
annual_income,"(67032.0, 74163.5]",decreases,1.2031197547912598,2,-0.05225907638669014
annual_income,"(74163.5, 82023.4]",increases,0.8754193782806396,2,0.0375647135078907
annual_income,"(82023.4, 91615.6]",increases,1.280909776687622,2,0.05484332516789436
annual_income,"(91615.6, 105053.6]",increases,1.2788236141204834,2,0.05475457012653351
home_ownership,own,increases,0.5294710397720337,3,0.022763676941394806
home_ownership,rent,decreases,0.9122639894485474,3,-0.03955449163913727
satisfaction_score,"(0.999, 1.4]",decreases,0.1413285732269287,4,-0.00609960313886404
satisfaction_score,"(1.4, 2.2]",decreases,0.14193952083587646,4,-0.006125932559370995
satisfaction_score,"(2.2, 2.8]",decreases,0.14199018478393555,4,-0.006128225009888411
satisfaction_score,"(2.8, 3.2]",decreases,0.14200806617736816,4,-0.006129079964011908
satisfaction_score,"(3.2, 3.4]",decreases,0.14288723468780518,4,-0.006166995503008366
satisfaction_score,"(3.4, 3.6]",decreases,0.14308393001556396,4,-0.006175464019179344
satisfaction_score,"(3.6, 3.8]",decreases,0.14309287071228027,4,-0.00617577088996768
satisfaction_score,"(3.8, 4.0]",decreases,0.14413893222808838,4,-0.0062209852039813995
satisfaction_score,"(4.0, 4.2]",increases,0.6567060947418213,4,0.028213758021593094
satisfaction_score,"(4.2, 4.8]",increases,0.6563961505889893,4,0.028200488537549973
home_value,"(-0.001, 236074.8]",decreases,0.24001002311706543,5,-0.010364659130573273
home_value,"(236074.8, 362837.0]",increases,0.16359686851501465,5,0.007048118859529495
home_value,"(362837.0, 488938.8]",increases,0.1637101173400879,5,0.007053207606077194
home_value,"(488938.8, 616146.5]",increases,0.1642674207687378,5,0.0070770117454230785
home_value,"(616146.5, 744684.4]",increases,0.16340911388397217,5,0.007040217984467745
home_value,"(744684.4, 872619.5]",increases,0.16406774520874023,5,0.00706844637170434
home_value,"(872619.5, 999995.0]",increases,0.16579627990722656,5,0.007142861373722553
credit_score,"(599.999, 628.0]",decreases,0.1449793577194214,6,-0.0062573677860200405
credit_score,"(628.0, 658.0]",decreases,0.1450866460800171,6,-0.006261943839490414
credit_score,"(658.0, 687.0]",decreases,0.14441311359405518,6,-0.006232809741050005
credit_score,"(687.0, 708.0]",decreases,0.05029439926147461,6,-0.0021693857852369547
credit_score,"(708.0, 723.0]",increases,0.012695789337158203,6,0.000547590374480933
credit_score,"(723.0, 739.0]",increases,0.011995434761047363,6,0.0005172136588953435
credit_score,"(739.0, 758.0]",increases,0.05125105381011963,6,0.0022095630411058664
credit_score,"(758.0, 788.0]",increases,0.14487504959106445,6,0.006242297124117613
credit_score,"(788.0, 818.0]",increases,0.14457106590270996,6,0.006229247897863388
credit_score,"(818.0, 849.0]",increases,0.14502406120300293,6,0.006248786114156246
late_payment_rate,"(-0.001, 0.01]",increases,0.04124641418457031,7,0.0017782683717086911
late_payment_rate,"(0.01, 0.019]",increases,0.038370490074157715,7,0.0016543706879019737
late_payment_rate,"(0.019, 0.029]",increases,0.03834962844848633,7,0.001653415965847671
late_payment_rate,"(0.029, 0.039]",increases,0.03829300403594971,7,0.0016509657725691795
late_payment_rate,"(0.039, 0.048]",increases,0.03834962844848633,7,0.0016534141032025218
late_payment_rate,"(0.048, 0.071]",decreases,0.021275877952575684,7,-0.0009175553568638861
late_payment_rate,"(0.071, 0.097]",decreases,0.035953521728515625,7,-0.001550915651023388
late_payment_rate,"(0.097, 0.122]",decreases,0.036597251892089844,7,-0.0015786421718075871
late_payment_rate,"(0.122, 0.147]",decreases,0.036653876304626465,7,-0.001580820302478969
late_payment_rate,"(0.147, 0.3]",decreases,0.06230473518371582,7,-0.002687823725864291
customer_segment,affluent_professionals,increases,0.025600194931030273,8,0.0011037318035960197
customer_segment,commercial,increases,0.02739429473876953,8,0.0011811817530542612
customer_segment,residential_premium,increases,0.026223063468933105,8,0.0011306187370792031
customer_segment,residential_standard,decreases,0.02771615982055664,8,-0.001195403398014605
customer_segment,small_business,increases,0.02720654010772705,8,0.001172973308712244
customer_segment,young_professionals,decreases,0.027701258659362793,8,-0.0011946932645514607
nps_score,"(-22.0, -8.0]",decreases,0.016483664512634277,9,-0.0007108327117748559
nps_score,"(-39.0, -22.0]",decreases,0.02205073833465576,9,-0.0009510774398222566
nps_score,"(-70.001, -39.0]",decreases,0.023946166038513184,9,-0.0010328484931960702
nps_score,"(-8.0, 1.0]",decreases,0.01551508903503418,9,-0.0006691256421618164
nps_score,"(1.0, 8.0]",decreases,0.01564323902130127,9,-0.0006748699233867228
nps_score,"(15.0, 21.0]",increases,0.01112222671508789,9,0.0004795564746018499
nps_score,"(21.0, 28.0]",increases,0.022912025451660156,9,0.0009877996053546667
nps_score,"(28.0, 36.0]",increases,0.03439486026763916,9,0.0014828065177425742
nps_score,"(36.0, 64.0]",increases,0.047138333320617676,9,0.002032137243077159
nps_score,"(8.0, 15.0]",decreases,0.012695789337158203,9,-0.0005475890939123929
service_interruptions_12m,"(-0.001, 1.0]",increases,0.01373291015625,10,0.000592135067563504
service_interruptions_12m,"(1.0, 3.0]",increases,0.013685226440429688,10,0.0005902030388824642
service_interruptions_12m,"(3.0, 4.0]",decreases,0.009045004844665527,10,-0.00039019223186187446
service_interruptions_12m,"(4.0, 5.0]",decreases,0.009104609489440918,10,-0.00039273317088373005
service_interruptions_12m,"(5.0, 6.0]",decreases,0.009128451347351074,10,-0.00039377162465825677
service_interruptions_12m,"(6.0, 7.0]",decreases,0.009065866470336914,10,-0.00039086633478291333
service_interruptions_12m,"(7.0, 8.0]",decreases,0.009128451347351074,10,-0.00039377130451612175
service_interruptions_12m,"(8.0, 9.0]",decreases,0.009077787399291992,10,-0.000391558074625209
education_level,bachelors,increases,0.002893805503845215,11,0.00012471275113057345
education_level,high_school,decreases,0.003260374069213867,11,-0.000140579926664941
education_level,masters,increases,0.12963712215423584,11,0.0055863745510578156
education_level,phd,increases,0.0014662742614746094,11,6.31414441158995e-05
education_level,some_college,decreases,0.003579258918762207,11,-0.0001543742255307734
