Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
service_interruptions_12m,"(-0.001, 1.0]",-0.15232088,0.44684878,-3.7883372,0.12151773,1
service_interruptions_12m,"(1.0, 3.0]",-0.15233165,0.4468461,-3.7886052,0.12151773,1
service_interruptions_12m,"(3.0, 4.0]",0.10105853,0.50999075,2.52586,0.12151773,1
service_interruptions_12m,"(4.0, 5.0]",0.10108969,0.5099985,2.526635,0.12151773,1
service_interruptions_12m,"(5.0, 6.0]",0.10099127,0.50997394,2.5241792,0.12151773,1
service_interruptions_12m,"(6.0, 7.0]",0.10102542,0.5099824,2.5250256,0.12151773,1
service_interruptions_12m,"(7.0, 8.0]",0.100984804,0.50997233,2.5240183,0.12151773,1
service_interruptions_12m,"(8.0, 9.0]",0.100967705,0.50996804,2.5235891,0.12151773,1
age,"(24.999, 33.0]",0.0009470772,0.48496872,0.023657084,0.00045817668,10
age,"(33.0, 36.0]",7.580115e-05,0.4847511,0.0018954277,0.00045817668,10
age,"(36.0, 40.0]",-0.00026937155,0.4846649,-0.006726384,0.00045817668,10
age,"(40.0, 43.0]",-0.00026495804,0.48466602,-0.0066131353,0.00045817668,10
age,"(43.0, 46.0]",-0.0002633978,0.4846664,-0.0065743923,0.00045817668,10
age,"(46.0, 50.0]",-0.0002600278,0.48466718,-0.0064969063,0.00045817668,10
age,"(50.0, 55.0]",-0.00025444682,0.48466864,-0.006350875,0.00045817668,10
age,"(55.0, 60.0]",-0.00027813847,0.4846627,-0.006943941,0.00045817668,10
age,"(60.0, 65.0]",0.00011307131,0.4847604,0.0028252602,0.00045817668,10
age,"(65.0, 69.0]",0.00011949091,0.48476207,0.0029921532,0.00045817668,10
avg_monthly_bill,"(109.0, 131.0]",-0.00043282175,0.48462406,-0.010809302,0.00037257784,11
avg_monthly_bill,"(131.0, 150.0]",-0.0004300777,0.48462474,-0.010740757,0.00037257784,11
avg_monthly_bill,"(150.0, 169.0]",-0.00025514976,0.4846684,-0.0063747168,0.00037257784,11
avg_monthly_bill,"(169.0, 189.0]",-4.494531e-05,0.48472095,-0.0011205673,0.00037257784,11
avg_monthly_bill,"(189.0, 211.0]",0.00033581475,0.48481604,0.008389354,0.00037257784,11
avg_monthly_bill,"(211.0, 238.0]",0.0003368527,0.4848163,0.008416176,0.00037257784,11
avg_monthly_bill,"(238.0, 272.0]",0.00034071162,0.48481727,0.008511543,0.00037257784,11
avg_monthly_bill,"(272.0, 328.0]",0.00033869754,0.48481676,0.008460879,0.00037257784,11
avg_monthly_bill,"(328.0, 717.0]",0.0003355479,0.48481598,0.008383393,0.00037257784,11
avg_monthly_bill,"(43.999, 109.0]",-0.0005970003,0.48458308,-0.014907122,0.00037257784,11
customer_segment,affluent_professionals,-0.00013962097,0.4846973,-0.0034838915,0.00028040956,12
customer_segment,commercial,0.017086055,0.48900074,0.42685866,0.00028040956,12
customer_segment,residential_premium,-0.0001427392,0.48469654,-0.0035613775,0.00028040956,12
customer_segment,residential_standard,-0.00014772783,0.48469532,-0.003683567,0.00028040956,12
customer_segment,small_business,0.024795236,0.49092722,0.61950684,0.00028040956,12
customer_segment,young_professionals,-0.00011985203,0.48470226,-0.002989173,0.00028040956,12
late_payment_rate,"(-0.001, 0.01]",-0.0004206589,0.4846271,-0.010505319,0.0002797398,13
late_payment_rate,"(0.01, 0.019]",-0.0003938015,0.4846338,-0.009834766,0.0002797398,13
late_payment_rate,"(0.019, 0.029]",-6.214107e-05,0.48471665,-0.0015497208,0.0002797398,13
late_payment_rate,"(0.029, 0.039]",6.3961685e-05,0.48474818,0.001603365,0.0002797398,13
late_payment_rate,"(0.039, 0.048]",7.7632925e-05,0.48475155,0.0019401312,0.0002797398,13
late_payment_rate,"(0.048, 0.071]",7.817273e-05,0.48475164,0.0019490719,0.0002797398,13
